secID,ticker,secShortName,cnSpell,exchangeCD,assetClass,listStatusCD,listDate,transCurrCD,ISIN,partyID
000001.XSHE,000001,平安银行,PAYH,XSHE,E,L,1991-04-03,CNY,CNE000000040,2.0
000002.XSHE,000002,万科A,WKA,XSHE,E,L,1991-01-29,CNY,CNE0000000T2,3.0
000004.XSHE,000004,国农科技,GNKJ,XSHE,E,L,1991-01-14,CNY,CNE0000000Y2,5.0
000005.XSHE,000005,世纪星源,SJXY,XSHE,E,L,1990-12-10,CNY,CNE0000001L7,6.0
000006.XSHE,000006,深振业A,SZYA,XSHE,E,L,1992-04-27,CNY,CNE000000164,7.0
000007.XSHE,000007,零七股份,LQGF,XSHE,E,L,1992-04-13,CNY,CNE0000000P0,8.0
000008.XSHE,000008,神州高铁,SZGT,XSHE,E,L,1992-05-07,CNY,CNE0000001C6,9.0
000009.XSHE,000009,中国宝安,ZGBA,XSHE,E,L,1991-06-25,CNY,CNE000000222,10.0
000010.XSHE,000010,深华新,SHX,XSHE,E,L,1995-10-27,CNY,CNE000000156,11.0
000011.XSHE,000011,深物业A,SWYA,XSHE,E,L,1992-03-30,CNY,CNE000000248,12.0
000012.XSHE,000012,南玻A,NBA,XSHE,E,L,1992-02-28,CNY,CNE0000002R2,13.0
000014.XSHE,000014,沙河股份,SHGF,XSHE,E,L,1992-06-02,CNY,CNE0000003G3,15.0
000016.XSHE,000016,深康佳A,SKJA,XSHE,E,L,1992-03-27,CNY,CNE0000002T8,17.0
000017.XSHE,000017,深中华A,SZHA,XSHE,E,L,1992-03-31,CNY,CNE0000002Q4,18.0
000018.XSHE,000018,中冠A,ZGA,XSHE,E,L,1992-06-16,CNY,CNE0000002S0,19.0
000019.XSHE,000019,深深宝A,SSBA,XSHE,E,L,1992-10-12,CNY,CNE000000354,20.0
000020.XSHE,000020,深华发A,SHFA,XSHE,E,L,1992-04-28,CNY,CNE0000002V4,21.0
000021.XSHE,000021,深科技,CCKF,XSHE,E,L,1994-02-02,CNY,CNE000000FK4,22.0
000022.XSHE,000022,深赤湾A,SCWA,XSHE,E,L,1993-05-05,CNY,CNE000000818,23.0
000023.XSHE,000023,深天地A,STDA,XSHE,E,L,1993-04-29,CNY,CNE000000834,24.0
000024.XSHE,000024,招商地产,ZSDC,XSHE,E,L,1993-06-07,CNY,CNE0000008B3,25.0
000025.XSHE,000025,特力A,TLA,XSHE,E,L,1993-06-21,CNY,CNE0000008N8,26.0
000026.XSHE,000026,飞亚达A,FYDA,XSHE,E,L,1993-06-03,CNY,CNE000000875,27.0
000027.XSHE,000027,深圳能源,SZNY,XSHE,E,L,1993-09-03,CNY,CNE000000933,28.0
000028.XSHE,000028,国药一致,GYYZ,XSHE,E,L,1993-08-09,CNY,CNE0000009N6,29.0
000029.XSHE,000029,深深房A,SSFA,XSHE,E,L,1993-09-15,CNY,CNE0000009X5,30.0
000030.XSHE,000030,富奥股份,FAGF,XSHE,E,L,1993-09-29,CNY,CNE0000009Z0,31.0
000031.XSHE,000031,中粮地产,ZLDC,XSHE,E,L,1993-10-08,CNY,CNE000000BJ5,32.0
000032.XSHE,000032,深桑达A,SSDA,XSHE,E,L,1993-10-28,CNY,CNE000000BK3,33.0
000034.XSHE,000034,深信泰丰,SXTF,XSHE,E,L,1994-05-09,CNY,CNE000000DQ6,35.0
000035.XSHE,000035,中国天楹,ZGTY,XSHE,E,L,1994-04-08,CNY,CNE000000FN8,36.0
000036.XSHE,000036,华联控股,HLKG,XSHE,E,L,1994-06-17,CNY,CNE000000G13,37.0
000037.XSHE,000037,深南电A,SNDA,XSHE,E,L,1994-07-01,CNY,CNE000000G62,38.0
000038.XSHE,000038,深大通,SDT,XSHE,E,L,1994-08-08,CNY,CNE000000FR9,39.0
000039.XSHE,000039,中集集团,ZJJT,XSHE,E,L,1994-04-08,CNY,CNE000000644,40.0
000040.XSHE,000040,宝安地产,BADC,XSHE,E,L,1994-08-08,CNY,CNE0000000D6,41.0
000042.XSHE,000042,中洲控股,ZZKG,XSHE,E,L,1994-09-21,CNY,CNE000000H53,42.0
000043.XSHE,000043,中航地产,ZHDC,XSHE,E,L,1994-09-28,CNY,CNE000000H95,43.0
000045.XSHE,000045,深纺织A,SFZA,XSHE,E,L,1994-08-15,CNY,CNE000000H61,44.0
000046.XSHE,000046,泛海控股,FHKG,XSHE,E,L,1994-09-12,CNY,CNE000000123,45.0
000048.XSHE,000048,康达尔,KDE,XSHE,E,L,1994-11-01,CNY,CNE000000HD5,47.0
000049.XSHE,000049,德赛电池,DSDC,XSHE,E,L,1995-03-20,CNY,CNE0000000F1,48.0
000050.XSHE,000050,深天马A,STMA,XSHE,E,L,1995-03-15,CNY,CNE000000HT1,49.0
000055.XSHE,000055,方大集团,FDJT,XSHE,E,L,1996-04-15,CNY,CNE000000JY7,50.0
000056.XSHE,000056,皇庭国际,HTGJ,XSHE,E,L,1996-07-08,CNY,CNE000000297,51.0
000058.XSHE,000058,深赛格,SSG,XSHE,E,L,1996-12-26,CNY,CNE000000NR3,52.0
000059.XSHE,000059,*ST华锦,*STHJ,XSHE,E,L,1997-01-30,CNY,CNE000000NY9,53.0
000060.XSHE,000060,中金岭南,ZJLN,XSHE,E,L,1997-01-23,CNY,CNE000000FS7,54.0
000061.XSHE,000061,农产品,NCP,XSHE,E,L,1997-01-10,CNY,CNE0000008V1,55.0
000062.XSHE,000062,深圳华强,SZHQ,XSHE,E,L,1997-01-30,CNY,CNE0000008R9,56.0
000063.XSHE,000063,中兴通讯,ZXTX,XSHE,E,L,1997-11-18,CNY,CNE000000TK5,57.0
000065.XSHE,000065,北方国际,BFGJ,XSHE,E,L,1998-06-05,CNY,CNE000000VZ9,58.0
000066.XSHE,000066,长城电脑,CCDN,XSHE,E,L,1997-06-26,CNY,CNE000000RL7,59.0
000068.XSHE,000068,*ST华赛,*STHS,XSHE,E,L,1997-06-11,CNY,CNE000000QV8,60.0
000069.XSHE,000069,华侨城A,HQCA,XSHE,E,L,1997-09-10,CNY,CNE000000SS0,61.0
000070.XSHE,000070,特发信息,TFXX,XSHE,E,L,2000-05-11,CNY,CNE000001238,62.0
000078.XSHE,000078,海王生物,HWSW,XSHE,E,L,1998-12-18,CNY,CNE000000X95,63.0
000088.XSHE,000088,盐田港,YTG,XSHE,E,L,1997-07-28,CNY,CNE000000SF7,64.0
000089.XSHE,000089,深圳机场,SZJC,XSHE,E,L,1998-04-20,CNY,CNE000000VK1,65.0
000090.XSHE,000090,天健集团,TJJT,XSHE,E,L,1999-07-21,CNY,CNE000000F89,66.0
000096.XSHE,000096,广聚能源,GJNY,XSHE,E,L,2000-07-24,CNY,CNE000001410,67.0
000099.XSHE,000099,中信海直,ZXHZ,XSHE,E,L,2000-07-31,CNY,CNE0000013Q1,68.0
000100.XSHE,000100,TCL集团,TCLJT,XSHE,E,L,2004-01-30,CNY,CNE000001GL8,69.0
000150.XSHE,000150,宜华健康,YHJK,XSHE,E,L,2000-08-07,CNY,CNE0000014D7,70.0
000151.XSHE,000151,中成股份,ZCGF,XSHE,E,L,2000-09-06,CNY,CNE0000014J4,71.0
000153.XSHE,000153,丰原药业,FYYY,XSHE,E,L,2000-09-20,CNY,CNE0000014X5,72.0
000155.XSHE,000155,*ST川化,*STCH,XSHE,E,L,2000-09-26,CNY,CNE0000014Z0,73.0
000156.XSHE,000156,华数传媒,HSCM,XSHE,E,L,2000-09-06,CNY,CNE0000014L0,74.0
000157.XSHE,000157,中联重科,ZLZK,XSHE,E,L,2000-10-12,CNY,CNE000001527,75.0
000158.XSHE,000158,常山股份,CSGF,XSHE,E,L,2000-07-24,CNY,CNE0000013X7,76.0
000159.XSHE,000159,国际实业,GJSY,XSHE,E,L,2000-09-26,CNY,CNE0000014R7,77.0
000301.XSHE,000301,东方市场,DFSC,XSHE,E,L,2000-05-29,CNY,CNE0000012K6,80.0
000333.XSHE,000333,美的集团,MDJT,XSHE,E,L,2013-09-18,CNY,CNE100001QQ5,3522.0
000338.XSHE,000338,潍柴动力,WCDL,XSHE,E,L,2007-04-30,CNY,CNE1000000D4,2252.0
000400.XSHE,000400,许继电气,XJDQ,XSHE,E,L,1997-04-18,CNY,CNE0000007F6,81.0
000401.XSHE,000401,冀东水泥,JDSN,XSHE,E,L,1996-06-14,CNY,CNE000000GX5,82.0
000402.XSHE,000402,金融街,JRJ,XSHE,E,L,1996-06-26,CNY,CNE000000KT5,83.0
000403.XSHE,000403,ST生化,STSH,XSHE,E,L,1996-06-28,CNY,CNE000000F14,84.0
000404.XSHE,000404,华意压缩,HYYS,XSHE,E,L,1996-06-19,CNY,CNE000000KM0,85.0
000407.XSHE,000407,胜利股份,SLGF,XSHE,E,L,1996-07-03,CNY,CNE000000G88,88.0
000408.XSHE,000408,金谷源,JGY,XSHE,E,L,1996-06-28,CNY,CNE000000L08,89.0
000409.XSHE,000409,山东地矿,SDDK,XSHE,E,L,1996-06-27,CNY,CNE000000L40,90.0
000410.XSHE,000410,沈阳机床,SYJC,XSHE,E,L,1996-07-18,CNY,CNE0000008W9,91.0
000411.XSHE,000411,英特集团,YTJT,XSHE,E,L,1996-07-16,CNY,CNE0000008D9,92.0
000413.XSHE,000413,东旭光电,DXGD,XSHE,E,L,1996-09-25,CNY,CNE000000578,94.0
000415.XSHE,000415,渤海租赁,BHZL,XSHE,E,L,1996-07-16,CNY,CNE0000009B1,95.0
000416.XSHE,000416,民生控股,MSTZ,XSHE,E,L,1996-07-19,CNY,CNE0000009P1,96.0
000417.XSHE,000417,合肥百货,HFBH,XSHE,E,L,1996-08-12,CNY,CNE000000BV0,97.0
000418.XSHE,000418,小天鹅A,XTEA,XSHE,E,L,1997-03-28,CNY,CNE000000D32,98.0
